,app_id,name,filtered_name
143,251570,7 Days to Die,7 day die
144,105600,Terraria,terrarium
145,1089980,The Henry Stickmin Collection,henry stickmin collection
146,435150,Divinity: Original Sin 2 - Definitive Edition,divinity original sin 2 definitive edition
147,1118010,Monster Hunter World: Iceborne,monster hunter iceborne
148,648800,Raft,raft
149,550,Left 4 Dead 2,left 4 2
150,546560,Half-Life: Alyx,half alyx
151,304390,FOR HONOR™,honor
152,826630,Iron Harvest,iron harvest
153,613100,House Flipper,house flipper
154,1225330,NBA 2K21,nba 2k21
155,281990,Stellaris,stellaris
156,703080,Planet Zoo,planet zoo
157,261550,Mount & Blade II: Bannerlord,mount blade ii bannerlord
158,107410,Arma 3,arma 3
159,782330,DOOM Eternal,doom eternal
160,1213210,Command & Conquer™ Remastered Collection,command conquer remastered collection
161,1222140,Detroit: Become Human,detroit become human
162,292030,The Witcher® 3: Wild Hunt,witcher 3 wild hunt
163,4000,Garry's Mod,garry mod
164,589290,Holdfast: Nations At War,holdfast nation
165,870780,Control Ultimate Edition,control ultimate edition
166,617290,Remnant: From the Ashes,remnant ash
167,905370,Conqueror's Blade,conqueror blade
168,379430,Kingdom Come: Deliverance,kingdom come deliverance
169,218620,PAYDAY 2,payday 2
170,779340,Total War: THREE KINGDOMS,total three kingdom
171,686810,Hell Let Loose,hell let loose
172,493520,GTFO,gtfo
173,270880,American Truck Simulator,american truck simulator
174,787860,Farming Simulator 19,farming simulator 19
175,996580,Spyro™ Reignited Trilogy,spyro reignited trilogy
176,813780,Age of Empires II: Definitive Edition,age empire ii definitive edition
177,284160,BeamNG.drive,beamng drive
178,228380,Wreckfest,wreckfest
179,1222730,STAR WARS™: Squadrons,star war squadron
180,594650,Hunt: Showdown,hunt showdown
181,393380,Squad,squad
182,8500,EVE Online,eve online
183,394360,Hearts of Iron IV,heart iron iv
184,803330,Destroy All Humans!,destroy human
185,1113000,Persona 4 Golden,persona 4 golden
186,883710,Resident Evil 2,resident evil 2
187,1190460,DEATH STRANDING,death stranding
188,581320,Insurgency: Sandstorm,insurgency sandstorm
189,264710,Subnautica,subnautica
190,972660,Spiritfarer®,spiritfarer
191,739630,Phasmophobia,phasmophobia
192,812140,Assassin's Creed® Odyssey,assassin creed odyssey
193,367500,Dragon's Dogma: Dark Arisen,dragon dogma dark arisen
194,970830,The Dungeon Of Naheulbeuk: The Amulet Of Chaos,dungeon naheulbeuk amulet chaos
195,640820,Pathfinder: Kingmaker - Enhanced Plus Edition,pathfinder kingmaker enhanced plus edition
196,1217060,Gunfire Reborn,gunfire reborn
197,814380,Sekiro™: Shadows Die Twice,sekiro shadow die twice
198,200210,Realm of the Mad God Exalt,realm mad god exalt
199,518790,theHunter: Call of the Wild™,thehunter call wild
200,444090,Paladins®,paladin
201,552500,Warhammer: Vermintide 2,warhammer vermintide 2
202,322330,Don't Starve Together,don t starve together
203,22380,Fallout: New Vegas,fallout new vega
204,374320,DARK SOULS™ III,dark soul iii
205,239140,Dying Light,dying light
206,1377380,Night of the Dead,
207,960090,Bloons TD 6,bloons td 6
208,392110,Endless Space® 2 - Digital Deluxe Edition,endless space 2 digital deluxe edition
209,223750,DCS World Steam Edition,dc steam edition
210,858810,Dawn of Man,dawn
211,466560,Northgard,northgard
212,361420,ASTRONEER,astroneer
213,761890,Albion Online,albion online
214,418370,Resident Evil 7 Biohazard,resident evil 7 biohazard
215,645630,Car Mechanic Simulator 2018,car mechanic simulator 2018
216,555160,Pavlov VR,pavlov vr
217,364360,Total War: WARHAMMER,total warhammer
218,359320,Elite Dangerous,elite dangerous
219,433340,Slime Rancher,slime rancher
220,962730,Skater XL - The Ultimate Skateboarding Game,skater xl ultimate skateboarding game
221,1214420,Tom Clancy's Rainbow Six® Siege - Year 5 Pass,tom clancy rainbow six siege year 5 pas
222,620,Portal 2,portal 2
223,601510,Yu-Gi-Oh! Duel Links,yu gi oh duel link
224,632470,Disco Elysium,disco elysium
225,493340,Planet Coaster,planet coaster
226,244850,Space Engineers,space engineer
227,219990,Grim Dawn,grim dawn
228,1172380,STAR WARS Jedi: Fallen Order™,star war jedi fallen order
229,1237950,STAR WARS™ Battlefront™ II,star war battlefront ii
230,880940,Pummel Party,pummel party
231,1089350,NBA 2K20,nba 2k20
