,url,genre,game_details
33,https://store.steampowered.com/app/638970/Yakuza_0/,"Action,Adventure,RPG","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards"
34,https://store.steampowered.com/app/641990/The_Escapists_2/,"Indie,Simulation,Strategy","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards"
35,https://store.steampowered.com/app/6060/Star_Wars_Battlefront_2_Classic_2005/,Action,"Single-player,Multi-player,Online Multi-Player,Partial Controller Support,Steam Cloud"
36,https://store.steampowered.com/app/799960/Wizard101/,"Free to Play,Massively Multiplayer,RPG","Online Multi-Player,MMO,In-App Purchases,Profile Features Limited 
									"
37,https://store.steampowered.com/app/532210/Life_is_Strange_2/,Adventure,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
38,https://store.steampowered.com/app/102500/Kingdoms_of_Amalur_Reckoning/,"Action,RPG","Single-player,Steam Achievements,Partial Controller Support,Steam Cloud"
39,https://store.steampowered.com/sub/18397/,Action,"Single-player,Multi-player,Steam Cloud"
40,https://store.steampowered.com/app/56437/Warhammer_40000_Dawn_of_War_II_Retribution/,Strategy,"Single-player,Multi-player,Co-op,Steam Achievements,Steam Cloud,Stats,Steam Leaderboards"
41,https://store.steampowered.com/app/1038810/GOD_WARS_The_Complete_Legend/,"Adventure,RPG,Simulation","Single-player,Full controller support"
42,https://store.steampowered.com/app/240/CounterStrike_Source/,Action,"Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Cloud,Valve Anti-Cheat enabled,Stats,Includes Source SDK"
43,https://store.steampowered.com/app/268050/The_Evil_Within/,Action,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud"
44,https://store.steampowered.com/bundle/2405/The_Binding_of_Isaac_Rebirth_Complete_Bundle/,"Action,Adventure,Indie","Single-player,Multi-player,Local Multi-Player,Co-op,Local Co-op,Shared/Split Screen,Downloadable Content,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Stats"
45,https://store.steampowered.com/app/955050/Bright_MemoryEarly_Access/,"Action,Adventure,Indie,Early Access","Single-player,Partial Controller Support"
46,https://store.steampowered.com/app/32470/STAR_WARS_Empire_at_War__Gold_Pack/,Strategy,"Single-player,Multi-player,Online Multi-Player,Steam Cloud"
47,https://store.steampowered.com/app/614570/Dishonored_Death_of_the_Outsider/,Action,"Single-player,Steam Achievements,Full controller support,Steam Cloud"
48,https://store.steampowered.com/app/310950/Street_Fighter_V/,Action,"Single-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards"
49,https://store.steampowered.com/app/397460/The_Jackbox_Party_Pack_2/,"Casual,Indie,Strategy","Single-player,Local Multi-Player,Local Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
50,https://store.steampowered.com/app/814740/Armored_Battle_Crew_World_War_1__Tank_Warfare_and_Crew_Management_Simulator/,"Action,Adventure,Casual,Indie,Simulation,Strategy,Early Access","Single-player,Steam Achievements,Steam Cloud"
51,https://store.steampowered.com/app/573100/Battlefleet_Gothic_Armada_2/,Strategy,"Single-player,Multi-player,Online Multi-Player,Steam Achievements,Steam Trading Cards,Steam Cloud"
52,https://store.steampowered.com/app/270150/RUNNING_WITH_RIFLES/,"Action,Indie","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop"
53,https://store.steampowered.com/app/20900/The_Witcher_Enhanced_Edition_Directors_Cut/,"Action,RPG","Single-player,Steam Cloud"
54,https://store.steampowered.com/app/356190/Middleearth_Shadow_of_War/,"Action,Adventure,RPG","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,In-App Purchases,Steam Cloud"
55,https://store.steampowered.com/app/410900/Forts/,"Action,Strategy","Single-player,Online Multi-Player,Online Co-op,Steam Achievements,Steam Workshop,Steam Leaderboards,Includes level editor"
56,https://store.steampowered.com/app/212500/The_Lord_of_the_Rings_Online/,"Free to Play,Massively Multiplayer,RPG",MMO
57,https://store.steampowered.com/bundle/6186/Stellaris_Ascension_Pack/,"Simulation,Strategy","Single-player,Multi-player,Cross-Platform Multiplayer,Downloadable Content,Steam Achievements,Steam Workshop,Steam Cloud"
58,https://store.steampowered.com/app/799640/Dungeon_Munchies/,"Action,Adventure,Indie,Early Access","Single-player,Steam Achievements,Full controller support,Steam Cloud"
59,https://store.steampowered.com/app/901583/Grand_Theft_Auto_IV_Complete_Edition/,"Action,Adventure","Single-player,Multi-player,Partial Controller Support"
60,https://store.steampowered.com/app/291650/Pillars_of_Eternity/,RPG,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Commentary available"
61,https://store.steampowered.com/app/599140/Graveyard_Keeper/,"Adventure,Indie,RPG,Simulation","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
62,https://store.steampowered.com/app/364470/The_Elder_Scrolls_Legends/,Free to Play,"Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer,Steam Trading Cards,In-App Purchases"
63,https://store.steampowered.com/sub/281610/,Action,"Single-player,Downloadable Content,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
64,https://store.steampowered.com/app/466560/Northgard/,"Indie,Simulation,Strategy","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Cloud"
65,https://store.steampowered.com/app/813820/Realm_Royale/,"Action,Free to Play,Early Access","Multi-player,Online Multi-Player,Partial Controller Support"
66,https://store.steampowered.com/bundle/9193/Sid_Meiers_Civilization_VI_Gold_Edition/,Strategy,"Single-player,Multi-player,Downloadable Content,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud"
67,https://store.steampowered.com/app/285900/Gang_Beasts/,"Action,Adventure,Casual,Indie","Multi-player,Online Multi-Player,Local Multi-Player,Shared/Split Screen,Steam Achievements,Full controller support"
68,https://store.steampowered.com/bundle/2185/Age_of_Empires_Legacy_Bundle/,"Simulation,Strategy","Single-player,Multi-player,Downloadable Content,Steam Achievements,Steam Trading Cards,Captions available,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards,Includes level editor"
69,https://store.steampowered.com/app/4700/Total_War_MEDIEVAL_II__Definitive_Edition/,Strategy,"Single-player,Multi-player,Steam Trading Cards"
70,https://store.steampowered.com/app/738540/Tales_of_Vesperia_Definitive_Edition/,RPG,"Single-player,Local Multi-Player,Co-op,Local Co-op,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards"
71,https://store.steampowered.com/app/359870/FINAL_FANTASY_XX2_HD_Remaster/,RPG,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud"
72,https://store.steampowered.com/app/653530/Return_of_the_Obra_Dinn/,"Adventure,Indie","Single-player,Steam Achievements,Full controller support"
73,https://store.steampowered.com/app/204360/Castle_Crashers/,"Action,Adventure,Casual,Indie,RPG","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards"
74,https://store.steampowered.com/bundle/10539/FINAL_FANTASY_XV_EPISODE_ARDYN_COMPLETE_EDITION/,RPG,"Single-player,Multi-player,Online Multi-Player,Online Co-op,Downloadable Content,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
75,https://store.steampowered.com/app/476600/Call_of_Duty_WWII/,Action,"Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Steam Achievements,Full controller support,Steam Trading Cards,In-App Purchases,Steam Cloud,Valve Anti-Cheat enabled"
76,https://store.steampowered.com/app/675010/MudRunner/,Simulation,"Single-player,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud"
77,https://store.steampowered.com/app/341800/Keep_Talking_and_Nobody_Explodes/,Indie,"Local Multi-Player,Co-op,Local Co-op,Steam Achievements,Full controller support,Steam Workshop,Stats,Steam Leaderboards"
78,https://store.steampowered.com/app/17390/SPORE/,Simulation,Single-player
79,https://store.steampowered.com/app/1018020/Contra_Anniversary_Collection/,Action,"Single-player,Multi-player,Local Multi-Player,Steam Achievements,Partial Controller Support"
80,https://store.steampowered.com/app/380600/Fishing_Planet/,"Free to Play,Massively Multiplayer,Simulation,Sports","Single-player,Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Full controller support"
81,https://store.steampowered.com/bundle/5700/Grand_Theft_Auto_V_Premium_Online_Edition__Great_White_Shark_Card_Bundle/,"Action,Adventure","Single-player,Multi-player,Downloadable Content,Steam Achievements,Full controller support"
82,https://store.steampowered.com/app/225540/Just_Cause_3/,"Action,Adventure","Single-player,Steam Achievements,Full controller support,Steam Trading Cards"
83,https://store.steampowered.com/app/8870/BioShock_Infinite/,Action,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
84,https://store.steampowered.com/app/244450/Men_of_War_Assault_Squad_2/,"Action,Simulation,Strategy","Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards,Includes level editor"
85,https://store.steampowered.com/app/206480/Dungeons__Dragons_Online/,"Action,Adventure,Free to Play,Massively Multiplayer,RPG",MMO
86,https://store.steampowered.com/bundle/2553/NecroDancer_ULTIMATE_PACK/,"Action,Indie,RPG","Single-player,Local Co-op,Shared/Split Screen,Downloadable Content,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Workshop,Steam Cloud,Steam Leaderboards,Includes level editor"
87,https://store.steampowered.com/app/816020/JUMP_FORCE/,Action,"Single-player,Online Multi-Player,Local Multi-Player,Shared/Split Screen,Steam Achievements,Full controller support"
88,https://store.steampowered.com/app/1048950/Desert_Skies/,"Action,Adventure,Indie,Early Access",Single-player
89,https://store.steampowered.com/app/755790/Ring_of_Elysium/,"Action,Free to Play,Massively Multiplayer,Early Access",Online Multi-Player
90,https://store.steampowered.com/app/1016960/Super_Neptunia_RPG/,"Action,Adventure,RPG","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
91,https://store.steampowered.com/app/287700/METAL_GEAR_SOLID_V_THE_PHANTOM_PAIN/,"Action,Adventure","Single-player,Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Steam Leaderboards"
92,https://store.steampowered.com/app/389730/TEKKEN_7/,"Action,Sports","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards"
93,https://store.steampowered.com/app/571740/Golf_It/,"Casual,Indie,Simulation,Sports,Early Access","Single-player,Online Multi-Player,Local Multi-Player,Steam Achievements,Steam Workshop,Partial Controller Support,Steam Cloud,Steam Leaderboards,Includes level editor"
94,https://store.steampowered.com/app/418240/Shadow_Tactics_Blades_of_the_Shogun/,"Indie,Strategy","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
95,https://store.steampowered.com/app/227940/Heroes__Generals/,"Action,Free to Play,Indie,Massively Multiplayer,Strategy","Multi-player,Online Multi-Player,MMO,Online Co-op,In-App Purchases"
96,https://store.steampowered.com/app/2280/Ultimate_Doom/,Action,"Single-player,Steam Cloud"
97,https://store.steampowered.com/app/578620/GORN/,"Action,Indie,Early Access","Single-player,SteamVR Collectibles"
98,https://store.steampowered.com/app/678950/DRAGON_BALL_FighterZ/,Action,"Single-player,Multi-player,Online Multi-Player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud"
99,https://store.steampowered.com/app/252690/Fantasy_Grounds/,"Indie,RPG,Strategy","Multi-player,Co-op,Cross-Platform Multiplayer"
100,https://store.steampowered.com/app/454650/DRAGON_BALL_XENOVERSE_2/,"Action,Adventure,Casual,Massively Multiplayer","Single-player,Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards"
101,https://store.steampowered.com/app/323190/Frostpunk/,"Simulation,Strategy","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud"
102,https://store.steampowered.com/bundle/7611/Stellaris_Starter_Pack/,"Simulation,Strategy","Single-player,Multi-player,Cross-Platform Multiplayer,Downloadable Content,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud"
103,https://store.steampowered.com/app/230290/Universe_Sandbox/,"Casual,Indie,Simulation,Early Access","Single-player,Partial Controller Support"
104,https://store.steampowered.com/app/453480/Shadowverse_CCG/,"Free to Play,Strategy","Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer,In-App Purchases"
105,https://store.steampowered.com/bundle/5879/Tyranny___Gold_Edition/,"Adventure,RPG,Action,Strategy","Single-player,Downloadable Content,Steam Achievements,Steam Trading Cards,Steam Cloud"
106,https://store.steampowered.com/bundle/5054/Cities_Skylines__New_Player_Bundle/,"Simulation,Strategy","Single-player,Downloadable Content,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Includes level editor"
107,https://store.steampowered.com/app/288470/Fable_Anniversary/,RPG,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud"
108,https://store.steampowered.com/app/257350/Baldurs_Gate_II_Enhanced_Edition/,"RPG,Strategy","Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Captions available,Steam Cloud"
